is_comb;items;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;JA4+JA4S;0.15;3;4;338;67;0;78;405;0.8345679012345679;0.1654320987654321;2.128395061728395;2.0;3;3;1;216;94;28;0.53;0.23;0.07
True;JA4+JA4S;0.15;3;4;340;65;0;78;405;0.8395061728395061;0.16049382716049382;1.5851851851851853;1.0;1;3;1;268;58;14;0.66;0.14;0.03
False;JA3+JA4;0.35;3;4;288;117;0;14;405;0.7111111111111111;0.28888888888888886;1.782716049382716;2.0;1;3;1;204;67;17;0.5;0.17;0.04
True;JA3+JA4;0.35;3;4;287;118;0;14;405;0.7086419753086419;0.291358024691358;1.7358024691358025;1.0;1;3;1;228;41;18;0.56;0.1;0.04
False;JA3+JA4;0.25;3;4;342;63;0;18;405;0.8444444444444444;0.15555555555555556;2.128395061728395;2.0;3;3;1;229;65;48;0.57;0.16;0.12
True;JA3+JA4;0.25;3;4;351;54;0;18;405;0.8666666666666667;0.13333333333333333;1.5851851851851853;1.0;1;3;1;290;35;26;0.72;0.09;0.06
False;JA3+JA4;0.15;3;4;337;68;0;27;405;0.8320987654320988;0.16790123456790124;2.128395061728395;2.0;3;3;1;227;61;49;0.56;0.15;0.12
True;JA3+JA4;0.15;3;4;337;68;0;27;405;0.8320987654320988;0.16790123456790124;1.5851851851851853;1.0;1;3;1;289;35;13;0.71;0.09;0.03
False;JA4+JA4S+SNI;0.95;3;4;61;344;0;15;405;0.1506172839506173;0.8493827160493828;2.308641975308642;3.0;3;3;1;60;1;0;0.15;0.0;0.0
True;JA4+JA4S+SNI;0.95;3;4;61;344;0;15;405;0.1506172839506173;0.8493827160493828;2.5555555555555554;3.0;3;3;1;60;1;0;0.15;0.0;0.0
False;JA4+JA4S+SNI;0.85;3;4;139;266;0;22;405;0.3432098765432099;0.6567901234567901;1.9234567901234567;2.0;1;3;1;138;1;0;0.34;0.0;0.0
True;JA4+JA4S+SNI;0.85;3;4;139;266;0;22;405;0.3432098765432099;0.6567901234567901;2.1703703703703705;3.0;3;3;1;138;1;0;0.34;0.0;0.0
False;JA4+JA4S+SNI;0.75;3;4;139;266;0;22;405;0.3432098765432099;0.6567901234567901;1.9234567901234567;2.0;1;3;1;138;1;0;0.34;0.0;0.0
True;JA4+JA4S+SNI;0.75;3;4;139;266;0;22;405;0.3432098765432099;0.6567901234567901;2.1703703703703705;3.0;3;3;1;138;1;0;0.34;0.0;0.0
False;JA4+JA4S+SNI;0.65;3;4;176;229;0;26;405;0.4345679012345679;0.5654320987654321;1.9506172839506173;2.0;1;3;1;172;4;0;0.42;0.01;0.0
True;JA4+JA4S+SNI;0.65;3;4;175;230;0;26;405;0.43209876543209874;0.5679012345679012;1.997530864197531;2.0;1;3;1;171;4;0;0.42;0.01;0.0
False;JA4+JA4S+SNI;0.55;3;4;193;212;0;42;405;0.4765432098765432;0.5234567901234568;2.0098765432098764;2.0;3;3;1;172;18;3;0.42;0.04;0.01
True;JA4+JA4S+SNI;0.55;3;4;192;213;0;42;405;0.4740740740740741;0.5259259259259259;2.091358024691358;3.0;3;3;1;174;16;2;0.43;0.04;0.0
False;JA4+JA4S+SNI;0.45;3;4;200;205;0;58;405;0.49382716049382713;0.5061728395061729;2.0024691358024693;2.0;3;3;1;177;22;1;0.44;0.05;0.0
True;JA4+JA4S+SNI;0.45;3;4;202;203;0;58;405;0.49876543209876545;0.5012345679012346;2.185185185185185;3.0;3;3;1;177;23;2;0.44;0.06;0.0
False;JA4+JA4S;0.95;3;4;3;402;0;6;405;0.007407407407407408;0.9925925925925926;1.8246913580246913;2.0;2;2;1;3;0;0;0.01;0.0;0.0
True;JA4+JA4S;0.95;3;4;3;402;0;6;405;0.007407407407407408;0.9925925925925926;1.8962962962962964;2.0;2;2;1;3;0;0;0.01;0.0;0.0
